producto,referencia,precio
BELIER CREMA EXFOLIANTE ALBARICOQUE,7708722000218,11600.0
SHIMEX EXFOLIANTE FACIAL,7708741437187,42300.0
Neutrogena Exfoliante Facial Purified Skin,7891010245191,45050.0
Asepxia Exfoliante Carbón Detox Crema,7798140259435,34550.0
Sorel Plus Loción Aclarante Fcox90ml Lss,7703451657481,37150.0
Biopronnabis Jabón Exfoliante,7707232092089,10950.0
Acgel Exfoliante Facial,7707016405265,24950.0
Effaclar Gel Purificante Micro Exfoliante,3337875708289,127762.0
Mela B3 Gel Microexfoliante,3337875890069,102697.0
Crema Ponds Facial Foam Tubo 50g,7702006301480,16700.0
Asepxia Jabón Facial Exfoliante 100 G,650240004643,13900.0
Cleanance Serum Exfoliante Solucion,3282770390469,108750.0
Ureadin Rx Gel Oil Exfoliante,8470001532411,75150.0
Lipiel Scrub,7707206270093,76650.0
Glicolic 10% Locion,7705849004020,125512.0
